what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1413264951888
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1413264951889
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1413264951889
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1413264951890
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1413264951890
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1413264951890
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1413264951891
stopped,bundle,com.jprobe.eclipse.core.server.oepe,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.server.oepe",1413264951891
stopped,bundle,com.jprobe.eclipse.core.runtime.server.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.runtime.server.ui",1413264951891
stopped,bundle,com.jprobe.eclipse.launcher.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.launcher.ui",1413264951891
stopped,bundle,com.jprobe.eclipse.coverage.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.coverage.ui",1413264951892
stopped,bundle,com.jprobe.eclipse.memory.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.memory.ui",1413264951892
stopped,bundle,com.jprobe.eclipse.performance.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.performance.ui",1413264951892
stopped,bundle,com.jprobe.eclipse.core.runtime.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.runtime.ui",1413264951892
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1413264951892
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1413264951893
stopped,bundle,org.eclipse.rap.ui.launch.rwt,1.4.1.20110914-1945,"org.eclipse.rap.ui.launch.rwt",1413264951893
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1413264951894
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1413264951894
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1413264951894
stopped,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1413264951895
stopped,bundle,com.jprobe.eclipse.core.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.ui",1413264951895
stopped,bundle,com.coverity.desktop.java,6.6.1.hotfix-2520-109,"com.coverity.desktop.java",1413264951895
stopped,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1413264951928
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1413264951928
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1413264951930
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1413264951930
